locationTime,accumulated_usage
2024-10-07 00:36:00,222543.0
2024-10-07 00:37:00,222544.0
2024-10-07 00:38:00,222544.5
2024-10-07 00:39:00,222545.0
2024-10-07 00:40:00,222545.0
2024-10-07 00:41:00,222545.5
2024-10-07 00:42:00,222546.0
2024-10-07 00:43:00,222546.5
2024-10-07 00:44:00,222548.0
2024-10-07 00:45:00,222548.5
2024-10-07 00:46:00,222549.0
2024-10-07 00:47:00,222549.0
2024-10-07 00:48:00,222549.5
2024-10-07 00:49:00,222550.5
2024-10-07 00:50:00,222551.0
2024-10-07 00:51:00,222551.0
2024-10-07 00:52:00,222551.5
2024-10-07 00:53:00,222551.5
2024-10-07 00:54:00,222552.0
2024-10-07 00:55:00,222552.0
2024-10-07 00:56:00,222552.5
2024-10-07 00:57:00,222552.5
2024-10-07 00:58:00,222553.0
2024-10-07 00:59:00,222553.0
2024-10-07 01:00:00,222554.0
2024-10-07 01:01:00,222555.0
2024-10-07 01:02:00,222555.0
2024-10-07 01:03:00,222556.0
2024-10-07 01:04:00,222556.5
2024-10-07 01:05:00,222557.0
2024-10-07 01:06:00,222557.5
2024-10-07 01:07:00,222558.0
2024-10-07 01:08:00,222558.5
2024-10-07 01:09:00,222559.0
2024-10-07 01:10:00,222559.5
2024-10-07 01:11:00,222560.0
2024-10-07 01:12:00,222560.0
2024-10-07 01:13:00,222561.0
2024-10-07 01:14:00,222561.5
2024-10-07 01:15:00,222562.0
2024-10-07 01:16:00,222562.5
2024-10-07 01:17:00,222563.0
2024-10-07 01:18:00,222564.0
2024-10-07 01:19:00,222564.5
2024-10-07 01:20:00,222565.0
2024-10-07 01:21:00,222565.5
2024-10-07 01:22:00,222566.0
2024-10-07 01:23:00,222567.0
2024-10-07 01:24:00,222567.0
2024-10-07 01:25:00,222567.5
2024-10-07 01:26:00,222567.5
2024-10-07 01:27:00,222568.0
2024-10-07 01:28:00,222568.0
2024-10-07 01:29:00,222568.0
2024-10-07 01:30:00,222568.5
2024-10-07 01:31:00,222569.0
2024-10-07 01:32:00,222570.0
2024-10-07 01:33:00,222570.5
2024-10-07 01:34:00,222571.5
2024-10-07 01:35:00,222572.0
2024-10-07 01:36:00,222572.5
2024-10-07 01:37:00,222573.0
2024-10-07 01:38:00,222573.5
2024-10-07 01:39:00,222574.0
2024-10-07 01:40:00,222574.5
2024-10-07 01:41:00,222575.0
2024-10-07 01:42:00,222576.0
2024-10-07 01:43:00,222576.0
2024-10-07 01:44:00,222577.0
